question,answer,ground_truth,query
 Each cow is not large. Cows are vertebrates. Each vertebrate is not cold. Vertebrates are sheep. Each sheep is shy. Every sheep is a carnivore. Carnivores are not angry. Carnivores are cats. Every cat is wooden. Cats are snakes. Each snake is opaque. Felines are large. Every snake is a mammal. Rex is a cow. Is the following statement true or false? Rex is not large., Rex is a cow. Each cow is not large. Rex is not large. ,True,Rex is not large
 Every ant is nervous. Every ant is a lepidopteran. Lepidopterans are not brown. Every lepidopteran is a crustacean. Every crustacean is small. Crustaceans are invertebrates. Animals are not nervous. Invertebrates are amenable. Invertebrates are insects. Stella is an ant. Is the following statement true or false? Stella is not nervous., Stella is an ant. Every ant is nervous. Stella is nervous. ,False,Stella is not nervous
 Even numbers are angry. Fractions are not angry. Each fraction is a Mersenne prime. Mersenne primes are metallic. Every Mersenne prime is a real number. Stella is a fraction. Is the following statement true or false? Stella is not angry., Stella is a fraction. Fractions are not angry. Stella is not angry. ,True,Stella is not angry
 Mammals are spicy. Every vertebrate is not spicy. Vertebrates are felines. Felines are transparent. Felines are snakes. Stella is a vertebrate. Is the following statement true or false? Stella is spicy., Stella is a vertebrate. Every vertebrate is not spicy. Stella is not spicy. ,False,Stella is spicy
 Butterflies are aggressive. Each butterfly is a lepidopteran. Every moth is not aggressive. Every lepidopteran is happy. Lepidopterans are ants. Rex is a butterfly. Is the following statement true or false? Rex is aggressive., Rex is a butterfly. Butterflies are aggressive. Rex is aggressive. ,True,Rex is aggressive
 Integers are not luminous. Integers are natural numbers. Every natural number is not mean. Each natural number is a number. Each number is bright. Every number is a fraction. Fractions are not transparent. Every fraction is a prime number. Each prime number is not small. Prime numbers are Mersenne primes. Each Mersenne prime is hot. Each Mersenne prime is an even number. Even numbers are shy. Every even number is a composite number. Every negative number is not shy. Every composite number is not spicy. Composite numbers are real numbers. Sally is an even number. Is the following statement true or false? Sally is not shy., Sally is an even number. Even numbers are shy. Sally is shy. ,False,Sally is not shy
 Each butterfly is not bright. Butterflies are moths. Every moth is feisty. Invertebrates are bright. Every moth is a spider. Polly is a butterfly. Is the following statement true or false? Polly is bright., Polly is a butterfly. Each butterfly is not bright. Polly is not bright. ,False,Polly is bright
 Every arthropod is not brown. Arthropods are animals. Each animal is wooden. Animals are ants. Ants are not bright. Each ant is a butterfly. Every invertebrate is bright. Butterflies are not earthy. Butterflies are crustaceans. Crustaceans are aggressive. Each crustacean is a spider. Each spider is small. Each spider is a moth. Moths are temperate. Each moth is an insect. Sally is an ant. Is the following statement true or false? Sally is bright., Sally is an ant. Ants are not bright. Sally is not bright. ,False,Sally is bright
 Each prime number is not opaque. Each prime number is an even number. Each fraction is not shy. Every even number is earthy. Every even number is a composite number. Every composite number is not hot. Composite numbers are negative numbers. Negative numbers are shy. Each negative number is a natural number. Natural numbers are dull. Each natural number is a Mersenne prime. Mersenne primes are not large. Every Mersenne prime is a number. Every number is luminous. Each number is an integer. Every integer is orange. Each integer is a real number. Rex is a negative number. Is the following statement true or false? Rex is not shy., Rex is a negative number. Negative numbers are shy. Rex is shy. ,False,Rex is not shy
 Even numbers are not transparent. Even numbers are real numbers. Real numbers are hot. Real numbers are composite numbers. Natural numbers are transparent. Each composite number is amenable. Every composite number is a number. Every number is nervous. Every number is a prime number. Each prime number is small. Each prime number is a fraction. Alex is an even number. Is the following statement true or false? Alex is transparent., Alex is an even number. Even numbers are not transparent. Alex is not transparent. ,False,Alex is transparent
 Arthropods are sweet. Arthropods are ants. Every ant is blue. Each ant is an animal. Animals are opaque. Each animal is a spider. Every spider is wooden. Spiders are crustaceans. Invertebrates are not blue. Crustaceans are earthy. Every crustacean is a lepidopteran. Sam is an ant. Is the following statement true or false? Sam is blue., Sam is an ant. Every ant is blue. Sam is blue. ,True,Sam is blue
 Every real number is not opaque. Real numbers are negative numbers. Negative numbers are not dull. Every negative number is an even number. Even numbers are not temperate. Each even number is a natural number. Each natural number is blue. Each prime number is aggressive. Natural numbers are fractions. Each fraction is not aggressive. Fractions are integers. Each integer is not sweet. Every integer is a composite number. Fae is a fraction. Is the following statement true or false? Fae is aggressive., Fae is a fraction. Each fraction is not aggressive. Fae is not aggressive. ,False,Fae is aggressive
 Animals are not cold. Each animal is an ant. Every ant is spicy. Each ant is a crustacean. Every crustacean is bright. Crustaceans are insects. Insects are not brown. Every insect is a spider. Each butterfly is opaque. Each spider is not small. Every spider is a moth. Every moth is not opaque. Moths are arthropods. Every arthropod is shy. Every arthropod is an invertebrate. Invertebrates are luminous. Invertebrates are lepidopterans. Stella is a moth. Is the following statement true or false? Stella is not opaque., Stella is a moth. Every moth is not opaque. Stella is not opaque. ,True,Stella is not opaque
 Each natural number is cold. Natural numbers are fractions. Fractions are not spicy. Each fraction is an even number. Even numbers are not dull. Every even number is a prime number. Prime numbers are mean. Prime numbers are negative numbers. Integers are spicy. Negative numbers are brown. Each negative number is a real number. Each real number is opaque. Real numbers are Mersenne primes. Max is a fraction. Is the following statement true or false? Max is spicy., Max is a fraction. Fractions are not spicy. Max is not spicy. ,False,Max is spicy
 Each cat is not cold. Each cat is a snake. Snakes are bitter. Felines are not fruity. Snakes are carnivores. Each carnivore is fruity. Carnivores are mammals. Every mammal is large. Mammals are dogs. Sam is a carnivore. Is the following statement true or false? Sam is not fruity., Sam is a carnivore. Each carnivore is fruity. Sam is fruity. ,False,Sam is not fruity
 Real numbers are not orange. Real numbers are prime numbers. Prime numbers are not shy. Prime numbers are fractions. Every fraction is not earthy. Fractions are negative numbers. Every negative number is small. Every negative number is an even number. Every even number is sour. Even numbers are Mersenne primes. Every natural number is not wooden. Every Mersenne prime is aggressive. Each Mersenne prime is a composite number. Composite numbers are wooden. Composite numbers are numbers. Each number is opaque. Numbers are integers. Stella is a composite number. Is the following statement true or false? Stella is wooden., Stella is a composite number. Composite numbers are wooden. Stella is wooden. ,True,Stella is wooden
 Every moth is not opaque. Each moth is a spider. Crustaceans are blue. Spiders are not earthy. Spiders are invertebrates. Each invertebrate is not blue. Invertebrates are arthropods. Every arthropod is liquid. Arthropods are insects. Insects are feisty. Insects are ants. Every ant is not bright. Ants are animals. Sally is an invertebrate. Is the following statement true or false? Sally is not blue., Sally is an invertebrate. Each invertebrate is not blue. Sally is not blue. ,True,Sally is not blue
 Each number is opaque. Every number is a real number. Each real number is blue. Real numbers are fractions. Every fraction is not wooden. Each fraction is a prime number. Prime numbers are sweet. Each prime number is a Mersenne prime. Every Mersenne prime is not angry. Mersenne primes are negative numbers. Negative numbers are not dull. Negative numbers are even numbers. Even numbers are not feisty. Even numbers are natural numbers. Each integer is wooden. Each natural number is fruity. Natural numbers are composite numbers. Polly is a fraction. Is the following statement true or false? Polly is wooden., Polly is a fraction. Every fraction is not wooden. Polly is not wooden. ,False,Polly is wooden
 Prime numbers are floral. Each prime number is an even number. Each even number is red. Even numbers are real numbers. Every real number is bright. Every real number is a Mersenne prime. Each Mersenne prime is large. Mersenne primes are fractions. Each fraction is amenable. Every fraction is a composite number. Every composite number is transparent. Negative numbers are not large. Composite numbers are numbers. Numbers are temperate. Every number is an integer. Integers are not happy. Every integer is a natural number. Sam is a Mersenne prime. Is the following statement true or false? Sam is large., Sam is a Mersenne prime. Each Mersenne prime is large. Sam is large. ,True,Sam is large
 Snakes are opaque. Every snake is a carnivore. Every carnivore is not dull. Carnivores are animals. Every animal is not fruity. Each animal is a sheep. Sheep are not spicy. Cats are not opaque. Sheep are vertebrates. Max is a snake. Is the following statement true or false? Max is not opaque., Max is a snake. Snakes are opaque. Max is opaque. ,False,Max is not opaque
 Vertebrates are not liquid. Every vertebrate is a dog. Dogs are fruity. Every dog is an animal. Every snake is liquid. Rex is a vertebrate. Is the following statement true or false? Rex is not liquid., Rex is a vertebrate. Vertebrates are not liquid. Rex is not liquid. ,True,Rex is not liquid
 Each moth is fruity. Moths are lepidopterans. Lepidopterans are orange. Every lepidopteran is an arthropod. Every butterfly is not nervous. Each arthropod is nervous. Every arthropod is a spider. Spiders are not angry. Each spider is an ant. Each ant is not bitter. Ants are invertebrates. Invertebrates are large. Each invertebrate is a crustacean. Crustaceans are cold. Each crustacean is an insect. Every insect is not dull. Insects are animals. Rex is an arthropod. Is the following statement true or false? Rex is not nervous., Rex is an arthropod. Each arthropod is nervous. Rex is nervous. ,False,Rex is not nervous
 Every arthropod is not temperate. Arthropods are crustaceans. Every crustacean is not happy. Each crustacean is a moth. Lepidopterans are happy. Every moth is red. Moths are invertebrates. Each invertebrate is not fruity. Each invertebrate is a butterfly. Every butterfly is not large. Butterflies are insects. Each insect is bright. Insects are spiders. Each spider is spicy. Each spider is an ant. Each ant is kind. Ants are animals. Fae is a crustacean. Is the following statement true or false? Fae is not happy., Fae is a crustacean. Every crustacean is not happy. Fae is not happy. ,True,Fae is not happy
 Every even number is bright. Even numbers are numbers. Numbers are luminous. Numbers are negative numbers. Each composite number is orange. Every negative number is not hot. Each negative number is a natural number. Each natural number is large. Every natural number is a Mersenne prime. Each Mersenne prime is kind. Every Mersenne prime is a prime number. Prime numbers are transparent. Prime numbers are real numbers. Real numbers are not orange. Each real number is a fraction. Each fraction is earthy. Fractions are integers. Sam is a real number. Is the following statement true or false? Sam is not orange., Sam is a real number. Real numbers are not orange. Sam is not orange. ,True,Sam is not orange
 Each spider is not earthy. Insects are earthy. Insects are crustaceans. Crustaceans are kind. Crustaceans are animals. Each animal is dull. Every animal is a lepidopteran. Lepidopterans are not large. Each lepidopteran is a moth. Rex is an insect. Is the following statement true or false? Rex is earthy., Rex is an insect. Insects are earthy. Rex is earthy. ,True,Rex is earthy
 Every integer is transparent. Every integer is a number. Each number is temperate. Numbers are natural numbers. Negative numbers are not large. Natural numbers are spicy. Natural numbers are fractions. Fractions are large. Every fraction is a prime number. Every prime number is mean. Prime numbers are composite numbers. Composite numbers are not floral. Every composite number is a Mersenne prime. Mersenne primes are metallic. Every Mersenne prime is an even number. Even numbers are red. Even numbers are real numbers. Rex is a fraction. Is the following statement true or false? Rex is not large., Rex is a fraction. Fractions are large. Rex is large. ,False,Rex is not large
 Cats are not dull. Cats are felines. Felines are not large. Felines are vertebrates. Each vertebrate is not angry. Every vertebrate is a dog. Dogs are not transparent. Dogs are sheep. Each sheep is spicy. Sheep are cows. Each carnivore is transparent. Alex is a dog. Is the following statement true or false? Alex is not transparent., Alex is a dog. Dogs are not transparent. Alex is not transparent. ,True,Alex is not transparent
